ID	stn	co	start_dt	duration	number	acc_code
2201	026	001	2002-09-20 11:53:03	00:00:16	INCOMING	
2202	026	008	2002-09-20 11:53:33	00:00:10	INCOMING	
2203	031	008	2002-09-20 11:53:44	00:01:38	TRANSFER	
2204	024	003	2002-09-20 11:55:36	00:00:07	INCOMING	
2205	026	008	2002-09-20 11:55:31	00:00:47	INCOMING	
2206	035	003	2002-09-20 11:55:44	00:02:10	TRANSFER	
2207	026	008	2002-09-20 11:57:31	00:00:45	INCOMING	
2208	024	007	2002-09-20 11:58:08	00:00:14	INCOMING	
2209	024	001	2002-09-20 12:03:23	00:02:19	INCOMING	
2210	024	004	2002-09-20 12:06:33	00:00:34	INCOMING	
2211	024	005	2002-09-20 12:06:22	00:01:01	INCOMING	
2212	024	006	2002-09-20 12:06:08	00:01:23	INCOMING	
2213	035	007	2002-09-20 11:58:24	00:09:44	TRANSFER	
2214	024	004	2002-09-20 12:07:50	00:00:19	INCOMING	
2215	034	006	2002-09-20 12:07:37	00:01:11	TRANSFER	
2216	028	004	2002-09-20 12:08:13	00:01:07	TRANSFER	
2217	026	008	2002-09-20 12:01:12	00:08:48	INCOMING	
2218	036	005	2002-09-20 12:07:25	00:02:56	TRANSFER	
2219	031	004	2002-09-20 12:11:37	00:00:20	INCOMING	
2220	036	005	2002-09-20 12:12:22	00:00:35	3118676	
2221	036	005	2002-09-20 12:13:42	00:01:01	9757969	
2222	036	005	2002-09-20 12:15:52	00:00:28	4388022F	
2223	033	006	2002-09-20 12:12:03	00:05:26	5729395	
2224	036	005	2002-09-20 12:16:40	00:03:20	4388022	
2225	026	001	2002-09-20 12:19:21	00:00:50	INCOMING	
2226	036	001	2002-09-20 12:20:12	00:02:18	TRANSFER	
2227	036	006	2002-09-20 12:24:04	00:00:07	2368474	
2228	023	001	2002-09-20 12:22:47	00:01:38	5231	
2229	036	006	2002-09-20 12:24:25	00:00:10	2368474	
2230	036	006	2002-09-20 12:24:57	00:00:05	2368474	
2231	036	006	2002-09-20 12:25:18	00:00:05	2368474	
2232	036	006	2002-09-20 12:25:48	00:00:07	2368474	
2233	036	006	2002-09-20 12:26:17	00:00:06	2368474	
2234	026	006	2002-09-20 12:29:14	00:00:15	INCOMING	
2235	036	006	2002-09-20 12:29:30	00:00:13	TRANSFER	
2236	026	005	2002-09-20 12:30:49	00:00:08	INCOMING	
2237	026	006	2002-09-20 12:30:42	00:00:23	INCOMING	
2238	026	007	2002-09-20 12:31:56	00:00:10	9222944	
2239	029	006	2002-09-20 12:31:06	00:01:54	TRANSFER	
2240	026	004	2002-09-20 12:36:09	00:00:06	INCOMING	
2241	035	005	2002-09-20 12:30:58	00:05:28	TRANSFER	
2242	032	006	2002-09-20 12:36:25	00:00:36	3607811	
2243	026	005	2002-09-20 12:40:33	00:00:17	INCOMING	
2244	024	001	2002-09-20 12:41:35	00:00:19	INCOMING	
2245	023	007	2002-09-20 12:41:44	00:00:12	INCOMING	
2246	035	007	2002-09-20 12:41:57	00:00:42	TRANSFER	
2247	026	004	2002-09-20 12:41:03	00:01:47	INCOMING	
2248	036	005	2002-09-20 12:40:52	00:02:09	TRANSFER	
2249	026	001	2002-09-20 12:43:32	00:00:17	INCOMING	
